Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,1910.000000,1915.000000,1885.000000,1885.000000,1885.000000,36252300
2023-03-24,1895.000000,1940.000000,1885.000000,1895.000000,1895.000000,78590800
2023-03-27,1935.000000,2010.000000,1935.000000,1960.000000,1960.000000,128759700
2023-03-28,1970.000000,2010.000000,1970.000000,1995.000000,1995.000000,71821100
2023-03-29,2000.000000,2090.000000,2000.000000,2080.000000,2080.000000,147076200
2023-03-30,2070.000000,2090.000000,2040.000000,2090.000000,2090.000000,83062700
2023-03-31,2080.000000,2100.000000,2050.000000,2090.000000,2090.000000,63907600
2023-04-03,2100.000000,2110.000000,2070.000000,2090.000000,2090.000000,48072300
2023-04-04,2090.000000,2100.000000,2040.000000,2050.000000,2050.000000,64915300
2023-04-05,2070.000000,2150.000000,2070.000000,2100.000000,2100.000000,112473600
2023-04-06,2100.000000,2120.000000,2080.000000,2100.000000,2100.000000,73515100
2023-04-10,2100.000000,2100.000000,2010.000000,2020.000000,2020.000000,50599000
2023-04-11,2030.000000,2110.000000,2030.000000,2110.000000,2110.000000,86677500
2023-04-12,2120.000000,2140.000000,2100.000000,2110.000000,2110.000000,61352700
2023-04-13,2110.000000,2130.000000,2100.000000,2130.000000,2130.000000,46749000
2023-04-14,2140.000000,2160.000000,2110.000000,2110.000000,2110.000000,96329700
2023-04-17,2130.000000,2140.000000,2100.000000,2120.000000,2120.000000,45802200
2023-04-18,2120.000000,2130.000000,2080.000000,2100.000000,2100.000000,41960600
2023-04-26,2080.000000,2110.000000,2060.000000,2110.000000,2110.000000,53065900
2023-04-27,2120.000000,2120.000000,2080.000000,2080.000000,2080.000000,24606800
2023-04-28,2090.000000,2110.000000,2070.000000,2100.000000,2100.000000,38485900
2023-05-02,2090.000000,2100.000000,2030.000000,2060.000000,2060.000000,45566000
2023-05-03,2110.000000,2150.000000,2100.000000,2120.000000,2120.000000,84879600
2023-05-04,2140.000000,2150.000000,2110.000000,2130.000000,2130.000000,56925500
2023-05-05,2130.000000,2130.000000,2020.000000,2040.000000,2040.000000,65433100
2023-05-08,2060.000000,2090.000000,2040.000000,2070.000000,2070.000000,29706800
2023-05-09,2080.000000,2120.000000,2070.000000,2110.000000,2110.000000,38860300
2023-05-10,2110.000000,2120.000000,2070.000000,2100.000000,2100.000000,29596100
2023-05-11,2080.000000,2080.000000,2030.000000,2040.000000,2040.000000,60984800
2023-05-12,2030.000000,2030.000000,1990.000000,2000.000000,2000.000000,55827200
2023-05-15,2000.000000,2020.000000,1970.000000,1990.000000,1990.000000,52156000
2023-05-16,1990.000000,2000.000000,1955.000000,1970.000000,1970.000000,46780700
2023-05-17,1960.000000,1965.000000,1915.000000,1935.000000,1935.000000,57535100
2023-05-19,1935.000000,1970.000000,1920.000000,1955.000000,1955.000000,45974800
2023-05-22,1960.000000,1990.000000,1935.000000,1940.000000,1940.000000,51978000
2023-05-23,1940.000000,1970.000000,1940.000000,1945.000000,1945.000000,50066400
2023-05-24,1950.000000,1960.000000,1945.000000,1950.000000,1950.000000,25578300
2023-05-25,1950.000000,1965.000000,1940.000000,1945.000000,1945.000000,30649800
2023-05-26,1945.000000,1950.000000,1920.000000,1920.000000,1920.000000,35480500
2023-05-29,1920.000000,1935.000000,1905.000000,1935.000000,1935.000000,33236600
2023-05-30,1935.000000,1960.000000,1930.000000,1940.000000,1940.000000,20104800
2023-05-31,1940.000000,1945.000000,1895.000000,1895.000000,1895.000000,112564800
2023-06-05,1905.000000,1995.000000,1905.000000,1975.000000,1975.000000,65371800
2023-06-06,1985.000000,2030.000000,1985.000000,2010.000000,2010.000000,49988100
2023-06-07,2010.000000,2030.000000,1990.000000,2020.000000,2020.000000,33846900
2023-06-08,2040.000000,2040.000000,1985.000000,1985.000000,1985.000000,36123800
2023-06-09,1985.000000,1995.000000,1970.000000,1975.000000,1975.000000,24991800
2023-06-12,1980.000000,2000.000000,1975.000000,1995.000000,1995.000000,23090500
2023-06-13,1995.000000,2020.000000,1980.000000,2010.000000,2010.000000,27907100
2023-06-14,0.000000,0.000000,0.000000,2030.000000,2030.000000,0
